orden,Puntuacion total directa,Transformada,Porcentaje
1,137.34,"89,88",85.8375
2,128.0,"85,71",80.0
3,122.67,"83,33",76.6687
4,122.66,"83,33",76.6625
5,115.67,"80,21",72.29375
6,113.67,"79,32",71.04375
7,113.33,"79,17",70.83125
8,112.67,"78,87",70.41875
9,112.67,"78,87",70.41875
10,110.67,"77,98",69.16875
11,110.0,"77,68",68.75
12,110.0,"77,68",68.75
13,109.0,"77,23",68.125
14,108.33,"76,93",67.70625
15,107.66,"76,64",67.2875
16,107.0,"76,34",66.875
17,107.0,"76,34",66.875
18,107.0,"76,34",66.875
19,106.34,"76,04",66.4625
20,106.33,"76,04",66.45625
21,106.0,"75,89",66.25
22,106.0,"75,89",66.25
23,106.0,"75,89",66.25
24,105.66,"75,75",66.0375
25,105.66,"75,75",66.0375
26,105.34,"75,59",65.8375
27,105.34,"75,59",65.8375
28,105.33,"75,59",65.83125
29,105.0,"75,45",65.625
30,105.0,"75,45",65.625
31,104.67,"75,3",65.41875
32,104.33,"75,15",65.20625
33,104.33,"75,15",65.20625
34,104.0,75,65.0
35,103.33,"74,7",64.58125
36,103.0,"74,55",64.375
37,103.0,"74,55",64.375
38,102.67,"74,41",64.16875
39,102.34,"74,25",63.9625
40,102.0,"74,11",63.74999999999999
41,101.67,"73,96",63.543749999999996
42,101.67,"73,96",63.543749999999996
43,101.34,"73,81",63.337500000000006
44,101.33,"73,81",63.33125
45,101.33,"73,81",63.33125
46,101.0,"73,66",63.125
47,101.0,"73,66",63.125
48,100.67,"73,51",62.91875
49,100.67,"73,51",62.91875
50,100.33,"73,36",62.70625
51,100.33,"73,36",62.70625
52,100.33,"73,36",62.70625
53,100.0,"73,21",62.5
54,100.0,"73,21",62.5
55,99.33,"72,92",62.08125
56,99.34,"72,92",62.087500000000006
57,99.34,"72,92",62.087500000000006
58,99.33,"72,92",62.08125
59,99.33,"72,92",62.08125
60,99.34,"72,92",62.087500000000006
61,99.0,"72,77",61.875
62,99.0,"72,77",61.875
63,98.66,"72,62",61.662499999999994
64,98.33,"72,47",61.456250000000004
65,98.34,"72,47",61.4625
66,98.33,"72,47",61.456250000000004
67,98.0,"72,32",61.25000000000001
68,97.66,"72,17",61.0375
69,97.33,"72,02",60.831250000000004
70,97.33,"72,02",60.831250000000004
71,97.0,"71,88",60.62499999999999
72,97.0,"71,88",60.62499999999999
73,96.67,"71,73",60.418749999999996
74,96.67,"71,73",60.418749999999996
75,96.66,"71,73",60.4125
76,96.67,"71,73",60.418749999999996
77,96.33,"71,58",60.20625
78,96.34,"71,58",60.212500000000006
79,96.33,"71,58",60.20625
80,96.0,"71,43",60.0
81,96.0,"71,43",60.0
82,96.0,"71,43",60.0
83,96.0,"71,43",60.0
84,95.67,"71,28",59.79375
85,95.66,"71,28",59.787499999999994
86,95.33,"71,13",59.58125
87,95.0,"70,98",59.375
88,95.0,"70,98",59.375
89,95.0,"70,98",59.375
90,94.67,"70,83",59.16875
91,94.67,"70,83",59.16875
92,94.67,"70,83",59.16875
93,94.34,"70,68",58.962500000000006
94,94.33,"70,68",58.95625
95,94.33,"70,68",58.95625
96,94.34,"70,68",58.962500000000006
97,94.0,"70,54",58.75
98,94.0,"70,54",58.75
99,94.0,"70,54",58.75
100,94.0,"70,54",58.75
101,94.0,"70,54",58.75
102,94.0,"70,54",58.75
103,94.0,"70,54",58.75
104,93.66,"70,39",58.537499999999994
105,93.67,"70,39",58.54375
106,93.34,"70,24",58.3375
107,93.33,"70,24",58.331250000000004
108,93.33,"70,24",58.331250000000004
109,93.34,"70,24",58.3375
110,93.33,"70,24",58.331250000000004
111,93.0,"70,09",58.12500000000001
112,93.0,"70,09",58.12500000000001
113,93.0,"70,09",58.12500000000001
114,92.67,"69,94",57.918749999999996
115,92.67,"69,94",57.918749999999996
116,92.66,"69,94",57.9125
117,92.66,"69,94",57.9125
118,92.67,"69,94",57.918749999999996
119,92.67,"69,94",57.918749999999996
120,92.67,"69,94",57.918749999999996
121,92.33,"69,79",57.706250000000004
122,92.33,"69,79",57.706250000000004
123,92.34,"69,79",57.7125
124,92.33,"69,79",57.706250000000004
125,92.33,"69,79",57.706250000000004
126,92.0,"69,64",57.49999999999999
127,92.0,"69,64",57.49999999999999
128,92.0,"69,64",57.49999999999999
129,92.0,"69,64",57.49999999999999
130,92.0,"69,64",57.49999999999999
131,92.0,"69,64",57.49999999999999
132,91.67,"69,5",57.293749999999996
133,91.66,"69,5",57.2875
134,91.67,"69,5",57.293749999999996
135,91.67,"69,5",57.293749999999996
136,91.66,"69,5",57.2875
137,91.34,"69,34",57.087500000000006
138,91.34,"69,34",57.087500000000006
139,91.33,"69,34",57.08125
140,91.0,"69,2",56.875
141,91.0,"69,2",56.875
142,91.0,"69,2",56.875
143,91.0,"69,2",56.875
144,91.0,"69,2",56.875
145,90.67,"69,05",56.66875
146,90.33,"68,9",56.45625
147,90.0,"68,75",56.25
148,90.0,"68,75",56.25
149,90.0,"68,75",56.25
150,90.0,"68,75",56.25
151,90.0,"68,75",56.25
152,90.0,"68,75",56.25
153,90.0,"68,75",56.25
154,89.67,"68,6",56.04375
155,89.67,"68,6",56.04375
156,89.66,"68,6",56.037499999999994
157,89.67,"68,6",56.04375
158,89.66,"68,6",56.037499999999994
159,89.66,"68,6",56.037499999999994
160,89.67,"68,6",56.04375
161,89.67,"68,6",56.04375
162,89.67,"68,6",56.04375
163,89.66,"68,6",56.037499999999994
164,89.66,"68,6",56.037499999999994
165,89.67,"68,6",56.04375
166,89.66,"68,6",56.037499999999994
167,89.34,"68,45",55.837500000000006
168,89.34,"68,45",55.837500000000006
169,89.33,"68,45",55.83125
170,89.33,"68,45",55.83125
171,89.34,"68,45",55.837500000000006
172,89.0,"68,3",55.625
173,89.0,"68,3",55.625
174,89.0,"68,3",55.625
175,89.0,"68,3",55.625
176,89.0,"68,3",55.625
177,88.67,"68,16",55.41875
178,88.66,"68,16",55.412499999999994
179,88.34,68,55.2125
180,88.34,68,55.2125
181,88.34,68,55.2125
182,88.34,68,55.2125
183,88.0,"67,86",55.00000000000001
184,88.0,"67,86",55.00000000000001
185,88.0,"67,86",55.00000000000001
186,88.0,"67,86",55.00000000000001
187,88.0,"67,86",55.00000000000001
188,87.67,"67,71",54.793749999999996
189,87.67,"67,71",54.793749999999996
190,87.67,"67,71",54.793749999999996
191,87.33,"67,56",54.581250000000004
192,87.33,"67,56",54.581250000000004
193,87.33,"67,56",54.581250000000004
194,87.33,"67,56",54.581250000000004
195,87.33,"67,56",54.581250000000004
196,87.33,"67,56",54.581250000000004
197,87.33,"67,56",54.581250000000004
198,87.0,"67,41",54.37499999999999
199,87.0,"67,41",54.37499999999999
200,87.0,"67,41",54.37499999999999
201,87.0,"67,41",54.37499999999999
202,87.0,"67,41",54.37499999999999
203,87.0,"67,41",54.37499999999999
204,86.67,"67,26",54.168749999999996
205,86.67,"67,26",54.168749999999996
206,86.66,"67,26",54.1625
207,86.66,"67,26",54.1625
208,86.66,"67,26",54.1625
209,86.67,"67,26",54.168749999999996
210,86.67,"67,26",54.168749999999996
211,86.33,"67,11",53.95625
212,86.33,"67,11",53.95625
213,86.33,"67,11",53.95625
214,86.0,"66,96",53.75
215,86.0,"66,96",53.75
216,86.0,"66,96",53.75
217,86.0,"66,96",53.75
218,86.0,"66,96",53.75
219,86.0,"66,96",53.75
220,86.0,"66,96",53.75
221,86.0,"66,96",53.75
222,86.0,"66,96",53.75
223,86.0,"66,96",53.75
224,85.67,"66,82",53.54375
225,85.67,"66,82",53.54375
226,85.67,"66,82",53.54375
227,85.67,"66,82",53.54375
228,85.67,"66,82",53.54375
229,85.67,"66,82",53.54375
230,85.67,"66,82",53.54375
231,85.33,"66,67",53.33125
232,85.34,"66,67",53.337500000000006
233,85.34,"66,67",53.337500000000006
234,85.34,"66,67",53.337500000000006
235,85.34,"66,67",53.337500000000006
236,85.0,"66,52",53.125
237,85.0,"66,52",53.125
238,85.0,"66,52",53.125
239,85.0,"66,52",53.125
240,85.0,"66,52",53.125
241,85.0,"66,52",53.125
242,85.0,"66,52",53.125
243,85.0,"66,52",53.125
244,85.0,"66,52",53.125
245,84.67,"66,37",52.91875
246,84.67,"66,37",52.91875
247,84.67,"66,37",52.91875
248,84.66,"66,37",52.912499999999994
249,84.67,"66,37",52.91875
250,84.66,"66,37",52.912499999999994
251,84.66,"66,37",52.912499999999994
252,84.33,"66,22",52.70625
253,84.33,"66,22",52.70625
254,84.34,"66,22",52.712500000000006
255,84.33,"66,22",52.70625
256,84.34,"66,22",52.712500000000006
257,84.0,"66,07",52.5
258,84.0,"66,07",52.5
259,84.0,"66,07",52.5
260,84.0,"66,07",52.5
261,84.0,"66,07",52.5
262,84.0,"66,07",52.5
263,84.0,"66,07",52.5
264,84.0,"66,07",52.5
265,83.67,"65,92",52.29375
266,83.67,"65,92",52.29375
267,83.66,"65,92",52.287499999999994
268,83.67,"65,92",52.29375
269,83.66,"65,92",52.287499999999994
270,83.66,"65,92",52.287499999999994
271,83.67,"65,92",52.29375
272,83.67,"65,92",52.29375
273,83.33,"65,77",52.081250000000004
274,83.33,"65,77",52.081250000000004
275,83.34,"65,77",52.0875
276,83.33,"65,77",52.081250000000004
277,83.34,"65,77",52.0875
278,83.33,"65,77",52.081250000000004
279,83.33,"65,77",52.081250000000004
280,83.34,"65,77",52.0875
281,83.0,"65,63",51.87500000000001
282,83.0,"65,63",51.87500000000001
283,83.0,"65,63",51.87500000000001
284,83.0,"65,63",51.87500000000001
285,83.0,"65,63",51.87500000000001
286,83.0,"65,63",51.87500000000001
287,83.0,"65,63",51.87500000000001
288,82.66,"65,48",51.6625
289,82.66,"65,48",51.6625
